Date,Price,Open,High,Low,Vol.,Change %
24/2/2020,10385.7,10408.5,10591.6,10385.7,27.25,-3.61%
21/2/2020,10774.6,10866.1,10888.9,10751.7,9.51,-0.84%
20/2/2020,10866.1,10728.8,10866.1,10637.3,11,2.15%
19/2/2020,10637.3,10660.2,10728.8,10568.7,11.54,-0.21%
18/2/2020,10660.2,10911.8,10911.8,10660.2,15.7,-1.89%
17/2/2020,10866.1,10843.2,10911.8,10797.4,5.72,0.21%
14/2/2020,10843.2,10797.4,10866.1,10683.1,10.64,0.00%
13/2/2020,10843.2,10866.1,10934.7,10797.4,11.08,-0.42%
12/2/2020,10888.9,10751.7,11049.1,10728.8,20.18,0.85%
11/2/2020,10797.4,11186.3,11255,10728.8,26.43,-3.08%
10/2/2020,11140.6,10980.4,11277.8,10957.6,10.1,0.00%
7/2/2020,11140.6,11529.5,11575.2,11071.9,17.1,-3.37%
6/2/2020,11529.5,11140.6,11529.5,11117.7,19.4,3.07%
5/2/2020,11186.3,11369.3,11438,11071.9,14.61,-0.61%
4/2/2020,11255,11277.8,11346.5,11026.2,17.03,0.20%
3/2/2020,11232.1,10660.2,11346.5,10385.7,25.44,1.87%
31/1/2020,11026.2,11438,11575.2,11026.2,23.16,-4.74%
30/1/2020,11575.2,11689.6,11849.7,11415.1,27.44,-3.80%
22/1/2020,12032.7,11826.9,12078.5,11826.9,18.79,1.74%
21/1/2020,11826.9,11781.1,11895.5,11689.6,12.45,1.37%
20/1/2020,11666.7,11438,11666.7,11300.7,12.03,2.00%
17/1/2020,11438,11575.2,11735.3,11392.2,13.33,-1.19%
16/1/2020,11575.2,11438,11598.1,11415.1,14.44,0.60%
15/1/2020,11506.6,11460.8,11598.1,11392.2,12.39,0.60%
14/1/2020,11438,11094.8,11460.8,11071.9,20.14,3.09%
13/1/2020,11094.8,11071.9,11163.4,11026.2,9.39,0.21%
10/1/2020,11071.9,11026.2,11232.1,11003.3,21.07,0.83%
9/1/2020,10980.4,10797.4,11049.1,10797.4,9.72,2.35%
